BathroomCount,BedroomCount,ConstructionYear,District,Furnished,Garden,Kitchen,LivingArea,MonthlyCharges,NumberOfFacades,PEB,Price,Province,Region,RoomCount,ShowerCount,StateOfBuilding,SubtypeOfProperty,SurfaceOfPlot,SwimmingPool,Terrace,ToiletCount,TypeOfProperty,TypeOfSale
1.0,5,1996.0,Liège,0.0,1.0,INSTALLED,300.0,30.0,3.0,F,235000,Liège,Wallonie,6.0,2.0,GOOD,town_house,800.0,0.0,1.0,3.0,1,residential_sale
1.0,3,1963.0,Liège,0.0,1.0,INSTALLED,125.0,30.0,2.0,C,299000,Liège,Wallonie,6.0,1.0,GOOD,house,323.0,0.0,1.0,2.0,1,residential_sale
1.0,4,1996.0,Nivelles,0.0,1.0,INSTALLED,249.0,30.0,3.0,B,450000,Walloon Brabant,Wallonie,6.0,1.0,GOOD,house,700.0,0.0,1.0,5.0,1,residential_sale
1.0,4,1996.0,Nivelles,0.0,1.0,INSTALLED,265.0,30.0,3.0,B,470000,Walloon Brabant,Wallonie,6.0,1.0,GOOD,house,700.0,0.0,1.0,5.0,1,residential_sale
1.0,4,1996.0,Nivelles,0.0,1.0,INSTALLED,202.0,30.0,3.0,B,445000,Walloon Brabant,Wallonie,6.0,1.0,GOOD,house,700.0,0.0,1.0,5.0,1,residential_sale
1.0,6,1996.0,Nivelles,0.0,1.0,INSTALLED,309.0,30.0,3.0,B,499000,Walloon Brabant,Wallonie,6.0,3.0,GOOD,house,700.0,0.0,1.0,5.0,1,residential_sale
2.0,3,1946.0,Kortrijk,0.0,1.0,HYPER_EQUIPPED,360.0,30.0,3.0,B,390000,West Flanders,Flanders,6.0,2.0,AS_NEW,penthouse,356.0,0.0,1.0,2.0,2,residential_sale
2.0,3,2019.0,Kortrijk,0.0,1.0,HYPER_EQUIPPED,188.0,30.0,3.0,B,745000,West Flanders,Flanders,6.0,2.0,GOOD,penthouse,356.0,0.0,1.0,1.0,2,residential_sale
2.0,2,2023.0,Brugge,0.0,1.0,HYPER_EQUIPPED,123.0,30.0,3.0,A,355000,West Flanders,Flanders,6.0,2.0,GOOD,duplex,356.0,0.0,1.0,2.0,2,residential_sale
1.0,2,2023.0,Brugge,0.0,1.0,HYPER_EQUIPPED,88.0,30.0,3.0,A,335000,West Flanders,Flanders,6.0,1.0,GOOD,apartment,356.0,0.0,1.0,1.0,2,residential_sale
1.0,4,1996.0,Dendermonde,0.0,1.0,INSTALLED,125.0,30.0,2.0,C,235000,East Flanders,Flanders,6.0,1.0,TO_BE_DONE_UP,house,249.0,0.0,1.0,1.0,1,residential_sale
1.0,3,1971.0,Liège,0.0,1.0,INSTALLED,135.0,30.0,2.0,C,249000,Liège,Wallonie,6.0,1.0,GOOD,town_house,250.0,0.0,1.0,2.0,1,residential_sale
1.0,3,1996.0,Philippeville,0.0,1.0,INSTALLED,108.0,30.0,2.0,D,80000,Namur,Wallonie,6.0,1.0,GOOD,house,45.0,0.0,1.0,1.0,1,residential_sale
1.0,2,1996.0,Charleroi,0.0,1.0,SEMI_EQUIPPED,90.0,30.0,3.0,B,145000,Hainaut,Wallonie,6.0,1.0,JUST_RENOVATED,apartment,356.0,0.0,1.0,1.0,2,residential_sale
1.0,3,1936.0,Brugge,0.0,1.0,INSTALLED,140.0,30.0,4.0,F,3700000,West Flanders,Flanders,6.0,1.0,GOOD,villa,924.0,0.0,1.0,3.0,1,residential_sale
1.0,2,2023.0,Brussels,0.0,1.0,HYPER_EQUIPPED,100.0,30.0,2.0,A,522500,Brussels,Brussels,6.0,1.0,GOOD,apartment,356.0,0.0,1.0,2.0,2,residential_sale
1.0,2,2024.0,Brussels,0.0,1.0,SEMI_EQUIPPED,95.0,30.0,2.0,A,527500,Brussels,Brussels,6.0,1.0,GOOD,penthouse,356.0,0.0,1.0,2.0,2,residential_sale
1.0,2,2024.0,Brussels,0.0,1.0,HYPER_EQUIPPED,100.0,30.0,2.0,A,542500,Brussels,Brussels,6.0,1.0,GOOD,apartment,356.0,0.0,1.0,2.0,2,residential_sale
1.0,2,2024.0,Brussels,0.0,1.0,SEMI_EQUIPPED,100.0,30.0,2.0,A,525000,Brussels,Brussels,6.0,1.0,GOOD,apartment,356.0,0.0,1.0,2.0,2,residential_sale
1.0,5,2024.0,Brussels,0.0,1.0,HYPER_EQUIPPED,284.0,30.0,2.0,A,786000,Brussels,Brussels,6.0,2.0,GOOD,house,210.0,0.0,1.0,2.0,1,residential_sale
1.0,2,1996.0,Liège,0.0,1.0,INSTALLED,127.0,30.0,2.0,B,259000,Liège,Wallonie,6.0,1.0,GOOD,apartment,356.0,0.0,1.0,1.0,2,residential_sale
1.0,4,2023.0,Huy,0.0,1.0,NOT_INSTALLED,250.0,30.0,4.0,B,560000,Liège,Wallonie,6.0,1.0,GOOD,house,2075.0,0.0,1.0,2.0,1,residential_sale
2.0,3,1996.0,Brussels,0.0,1.0,INSTALLED,181.0,30.0,3.0,A,780500,Brussels,Brussels,6.0,1.0,GOOD,penthouse,356.0,0.0,1.0,1.0,2,residential_sale
2.0,5,1790.0,Brussels,0.0,1.0,INSTALLED,260.0,30.0,4.0,B,900000,Brussels,Brussels,6.0,2.0,TO_RENOVATE,house,1500.0,0.0,1.0,2.0,1,residential_sale
2.0,5,1996.0,Leuven,0.0,1.0,HYPER_EQUIPPED,232.0,30.0,2.0,B,746339,Flemish Brabant,Flanders,6.0,1.0,GOOD,house,142.0,0.0,1.0,3.0,1,residential_sale
2.0,5,1996.0,Leuven,0.0,1.0,HYPER_EQUIPPED,236.0,30.0,2.0,B,736221,Flemish Brabant,Flanders,6.0,1.0,GOOD,house,121.0,0.0,1.0,3.0,1,residential_sale
2.0,5,1996.0,Leuven,0.0,1.0,HYPER_EQUIPPED,228.0,30.0,2.0,B,722858,Flemish Brabant,Flanders,6.0,1.0,GOOD,house,126.0,0.0,1.0,3.0,1,residential_sale
2.0,5,1996.0,Leuven,0.0,1.0,HYPER_EQUIPPED,236.0,30.0,2.0,B,735350,Flemish Brabant,Flanders,6.0,1.0,GOOD,house,120.0,0.0,1.0,3.0,1,residential_sale
2.0,5,1996.0,Leuven,0.0,1.0,HYPER_EQUIPPED,296.0,30.0,2.0,B,902687,Flemish Brabant,Flanders,6.0,1.0,GOOD,house,143.0,0.0,1.0,3.0,1,residential_sale
2.0,5,1996.0,Leuven,0.0,1.0,HYPER_EQUIPPED,264.0,30.0,2.0,B,780367,Flemish Brabant,Flanders,6.0,1.0,GOOD,house,127.0,0.0,1.0,3.0,1,residential_sale
2.0,5,1996.0,Leuven,0.0,1.0,HYPER_EQUIPPED,266.0,30.0,2.0,B,790282,Flemish Brabant,Flanders,6.0,1.0,GOOD,house,133.0,0.0,1.0,3.0,1,residential_sale
2.0,5,1996.0,Leuven,0.0,1.0,HYPER_EQUIPPED,269.0,30.0,2.0,B,795138,Flemish Brabant,Flanders,6.0,1.0,GOOD,house,132.0,0.0,1.0,3.0,1,residential_sale
2.0,5,1996.0,Leuven,0.0,1.0,HYPER_EQUIPPED,264.0,30.0,2.0,B,779496,Flemish Brabant,Flanders,6.0,1.0,GOOD,house,126.0,0.0,1.0,3.0,1,residential_sale
2.0,5,1996.0,Leuven,0.0,1.0,HYPER_EQUIPPED,222.0,30.0,2.0,B,680003,Flemish Brabant,Flanders,6.0,1.0,GOOD,house,123.0,0.0,1.0,3.0,1,residential_sale
2.0,5,1996.0,Leuven,0.0,1.0,HYPER_EQUIPPED,264.0,30.0,2.0,B,783851,Flemish Brabant,Flanders,6.0,1.0,GOOD,house,131.0,0.0,1.0,3.0,1,residential_sale
2.0,5,1996.0,Leuven,0.0,1.0,HYPER_EQUIPPED,264.0,30.0,2.0,B,821304,Flemish Brabant,Flanders,6.0,1.0,GOOD,house,174.0,0.0,1.0,3.0,1,residential_sale
2.0,5,1996.0,Leuven,0.0,1.0,HYPER_EQUIPPED,264.0,30.0,2.0,B,805626,Flemish Brabant,Flanders,6.0,1.0,GOOD,house,156.0,0.0,1.0,3.0,1,residential_sale
2.0,5,1996.0,Leuven,0.0,1.0,HYPER_EQUIPPED,264.0,30.0,2.0,B,828272,Flemish Brabant,Flanders,6.0,1.0,GOOD,house,182.0,0.0,1.0,3.0,1,residential_sale
2.0,5,1996.0,Leuven,0.0,1.0,HYPER_EQUIPPED,272.0,30.0,3.0,B,811317,Flemish Brabant,Flanders,6.0,1.0,GOOD,house,139.0,0.0,1.0,3.0,1,residential_sale
2.0,5,1996.0,Leuven,0.0,1.0,HYPER_EQUIPPED,230.0,30.0,3.0,B,706765,Flemish Brabant,Flanders,6.0,1.0,GOOD,house,127.0,0.0,1.0,3.0,1,residential_sale
2.0,5,1996.0,Leuven,0.0,1.0,HYPER_EQUIPPED,230.0,30.0,3.0,B,743347,Flemish Brabant,Flanders,6.0,1.0,GOOD,house,169.0,0.0,1.0,3.0,1,residential_sale
2.0,5,1996.0,Leuven,0.0,1.0,HYPER_EQUIPPED,272.0,30.0,3.0,B,807833,Flemish Brabant,Flanders,6.0,1.0,GOOD,house,135.0,0.0,1.0,3.0,1,residential_sale
1.0,2,1996.0,Tielt,0.0,1.0,SEMI_EQUIPPED,146.0,30.0,2.0,E,199000,West Flanders,Flanders,6.0,1.0,GOOD,mixed_use_building,53.0,0.0,1.0,2.0,1,residential_sale
1.0,2,1958.0,Antwerp,0.0,1.0,INSTALLED,97.0,30.0,2.0,B,249000,Antwerp,Flanders,6.0,1.0,GOOD,apartment,356.0,0.0,1.0,1.0,2,residential_sale
1.0,2,2016.0,Kortrijk,0.0,1.0,INSTALLED,125.0,30.0,3.0,A,229000,West Flanders,Flanders,6.0,1.0,GOOD,apartment,356.0,0.0,1.0,1.0,2,residential_sale
2.0,6,1996.0,Namur,0.0,1.0,INSTALLED,501.0,30.0,3.0,G,395000,Namur,Wallonie,9.0,1.0,TO_RESTORE,house,3000.0,0.0,1.0,3.0,1,residential_sale
2.0,2,1985.0,Brugge,1.0,1.0,HYPER_EQUIPPED,70.0,30.0,2.0,B,995000,West Flanders,Flanders,6.0,2.0,GOOD,apartment,356.0,0.0,1.0,1.0,2,residential_sale
1.0,2,1968.0,Dinant,0.0,1.0,INSTALLED,96.0,30.0,2.0,B,188000,Namur,Wallonie,6.0,1.0,GOOD,apartment,356.0,0.0,1.0,1.0,2,residential_sale
1.0,2,1996.0,Thuin,0.0,1.0,INSTALLED,200.0,30.0,4.0,D,310000,Hainaut,Wallonie,6.0,1.0,GOOD,villa,2000.0,0.0,1.0,1.0,1,residential_sale
2.0,4,1996.0,Halle-Vilvoorde,1.0,1.0,HYPER_EQUIPPED,270.0,30.0,2.0,B,580000,Flemish Brabant,Flanders,6.0,1.0,AS_NEW,house,220.0,0.0,1.0,3.0,1,residential_sale
1.0,5,2024.0,Brussels,0.0,1.0,HYPER_EQUIPPED,292.0,30.0,2.0,A,794000,Brussels,Brussels,6.0,2.0,GOOD,house,210.0,0.0,1.0,2.0,1,residential_sale
1.0,3,1996.0,Gent,0.0,1.0,INSTALLED,163.0,30.0,2.0,D,275000,East Flanders,Flanders,6.0,1.0,TO_BE_DONE_UP,house,52.0,0.0,1.0,1.0,1,residential_sale
1.0,1,1996.0,Veurne,0.0,1.0,INSTALLED,52.0,30.0,3.0,A,295000,West Flanders,Flanders,6.0,1.0,GOOD,service_flat,356.0,0.0,1.0,1.0,2,residential_sale
2.0,2,1971.0,Charleroi,0.0,1.0,SEMI_EQUIPPED,166.0,30.0,3.0,G,150000,Hainaut,Wallonie,6.0,2.0,TO_BE_DONE_UP,town_house,392.0,0.0,1.0,2.0,1,residential_sale
1.0,3,1918.0,Charleroi,0.0,1.0,NOT_INSTALLED,170.0,30.0,2.0,D,199900,Hainaut,Wallonie,6.0,1.0,GOOD,house,409.0,0.0,1.0,3.0,1,residential_sale
1.0,2,1996.0,Tournai,0.0,1.0,SEMI_EQUIPPED,100.0,30.0,2.0,F,109000,Hainaut,Wallonie,6.0,1.0,TO_RENOVATE,house,125.0,0.0,1.0,1.0,1,residential_sale
1.0,3,1996.0,Mouscron,0.0,1.0,INSTALLED,92.0,30.0,4.0,B,319000,Hainaut,Wallonie,6.0,2.0,AS_NEW,apartment,356.0,0.0,1.0,1.0,2,residential_sale
1.0,4,2010.0,Hasselt,0.0,1.0,INSTALLED,238.0,30.0,4.0,B,529000,Limburg,Flanders,6.0,2.0,GOOD,house,1560.0,0.0,1.0,2.0,1,residential_sale
1.0,4,1967.0,Dinant,0.0,1.0,SEMI_EQUIPPED,150.0,30.0,4.0,G,275000,Namur,Wallonie,6.0,1.0,TO_RENOVATE,villa,985.0,0.0,1.0,1.0,1,residential_sale
1.0,5,1915.0,Marche-en-Famenne,0.0,1.0,INSTALLED,190.0,30.0,4.0,C,339000,Luxembourg,Wallonie,6.0,1.0,GOOD,apartment_block,660.0,0.0,1.0,2.0,1,residential_sale
1.0,2,1996.0,Liège,0.0,1.0,INSTALLED,79.0,30.0,2.0,F,147500,Liège,Wallonie,6.0,1.0,GOOD,house,67.0,0.0,1.0,1.0,1,residential_sale
1.0,4,1996.0,Philippeville,0.0,1.0,SEMI_EQUIPPED,125.0,30.0,3.0,E,315000,Namur,Wallonie,7.0,1.0,GOOD,villa,1380.0,0.0,1.0,1.0,1,residential_sale
1.0,3,1979.0,Namur,0.0,1.0,NOT_INSTALLED,93.0,30.0,3.0,F,209000,Namur,Wallonie,8.0,1.0,TO_RENOVATE,house,681.0,0.0,1.0,2.0,1,residential_sale
1.0,5,1996.0,Thuin,0.0,1.0,INSTALLED,318.0,30.0,4.0,C,288000,Hainaut,Wallonie,6.0,2.0,AS_NEW,villa,823.0,0.0,1.0,3.0,1,residential_sale
1.0,3,2010.0,Thuin,0.0,1.0,INSTALLED,120.0,30.0,4.0,C,220000,Hainaut,Wallonie,11.0,1.0,GOOD,apartment,356.0,0.0,1.0,2.0,2,residential_sale
2.0,5,1974.0,Halle-Vilvoorde,0.0,1.0,INSTALLED,317.0,30.0,4.0,D,1390000,Flemish Brabant,Flanders,6.0,1.0,TO_RENOVATE,villa,1917.0,1.0,1.0,3.0,1,residential_sale
2.0,3,1974.0,Nivelles,0.0,1.0,HYPER_EQUIPPED,160.0,30.0,4.0,D,485000,Walloon Brabant,Wallonie,6.0,1.0,TO_RENOVATE,villa,779.0,0.0,1.0,2.0,1,residential_sale
1.0,3,1996.0,Nivelles,0.0,1.0,INSTALLED,186.0,30.0,3.0,B,439000,Walloon Brabant,Wallonie,4.0,1.0,JUST_RENOVATED,house,1390.0,0.0,1.0,2.0,1,residential_sale
1.0,1,1996.0,Mons,0.0,1.0,NOT_INSTALLED,65.0,30.0,3.0,B,50000,Hainaut,Wallonie,5.0,1.0,TO_RENOVATE,house,279.0,0.0,1.0,1.0,1,residential_sale
3.0,4,2020.0,Antwerp,0.0,1.0,INSTALLED,460.0,30.0,4.0,B,1350000,Antwerp,Flanders,6.0,2.0,GOOD,villa,1584.0,0.0,1.0,3.0,1,residential_sale
2.0,6,1900.0,Nivelles,0.0,1.0,SEMI_EQUIPPED,332.0,30.0,4.0,B,760000,Walloon Brabant,Wallonie,6.0,2.0,TO_RENOVATE,country_cottage,9177.0,0.0,1.0,3.0,1,residential_sale
2.0,3,1981.0,Brugge,0.0,1.0,INSTALLED,125.0,30.0,2.0,B,1295000,West Flanders,Flanders,6.0,1.0,AS_NEW,apartment,356.0,0.0,1.0,2.0,2,residential_sale
2.0,5,1996.0,Liège,0.0,1.0,HYPER_EQUIPPED,304.0,30.0,4.0,D,650000,Liège,Wallonie,6.0,2.0,AS_NEW,villa,1394.0,0.0,1.0,2.0,1,residential_sale
2.0,3,1970.0,Liège,0.0,1.0,INSTALLED,192.0,30.0,4.0,D,575000,Liège,Wallonie,6.0,2.0,AS_NEW,bungalow,1663.0,1.0,1.0,2.0,1,residential_sale
1.0,2,2024.0,Veurne,0.0,1.0,INSTALLED,91.0,30.0,3.0,A+,465000,West Flanders,Flanders,6.0,1.0,GOOD,apartment,356.0,0.0,1.0,1.0,2,residential_sale
2.0,4,1966.0,Brugge,0.0,1.0,INSTALLED,115.0,30.0,2.0,D,299000,West Flanders,Flanders,13.0,2.0,TO_RENOVATE,apartment,356.0,0.0,1.0,2.0,2,residential_sale
2.0,3,2009.0,Brugge,0.0,1.0,INSTALLED,122.0,30.0,2.0,A,1095000,West Flanders,Flanders,13.0,1.0,GOOD,apartment,356.0,0.0,1.0,2.0,2,residential_sale
1.0,3,1996.0,Antwerp,0.0,1.0,HYPER_EQUIPPED,127.0,30.0,3.0,B,449000,Antwerp,Flanders,6.0,1.0,GOOD,apartment,356.0,0.0,1.0,1.0,2,residential_sale
1.0,3,1996.0,Antwerp,0.0,1.0,HYPER_EQUIPPED,149.0,30.0,3.0,B,479000,Antwerp,Flanders,6.0,1.0,GOOD,apartment,356.0,0.0,1.0,1.0,2,residential_sale
1.0,3,1996.0,Antwerp,0.0,1.0,HYPER_EQUIPPED,144.0,30.0,3.0,B,469000,Antwerp,Flanders,6.0,1.0,GOOD,apartment,356.0,0.0,1.0,2.0,2,residential_sale
1.0,3,1996.0,Antwerp,0.0,1.0,HYPER_EQUIPPED,120.0,30.0,3.0,B,429000,Antwerp,Flanders,6.0,1.0,GOOD,apartment,356.0,0.0,1.0,1.0,2,residential_sale
1.0,5,2023.0,Mons,0.0,1.0,INSTALLED,168.0,30.0,3.0,A,249999,Hainaut,Wallonie,1.0,2.0,JUST_RENOVATED,house,185.0,0.0,1.0,3.0,1,residential_sale
1.0,3,2018.0,Verviers,1.0,1.0,HYPER_EQUIPPED,153.0,30.0,3.0,B,524000,Liège,Wallonie,6.0,1.0,AS_NEW,apartment,356.0,1.0,1.0,2.0,2,residential_sale
1.0,2,1996.0,Antwerp,0.0,1.0,HYPER_EQUIPPED,106.0,30.0,3.0,B,399000,Antwerp,Flanders,6.0,1.0,GOOD,apartment,356.0,0.0,1.0,1.0,2,residential_sale
1.0,2,1996.0,Antwerp,0.0,1.0,HYPER_EQUIPPED,99.0,30.0,3.0,B,339000,Antwerp,Flanders,6.0,1.0,GOOD,apartment,356.0,0.0,1.0,1.0,2,residential_sale
1.0,2,1996.0,Antwerp,0.0,1.0,HYPER_EQUIPPED,97.0,30.0,3.0,B,359000,Antwerp,Flanders,6.0,1.0,GOOD,apartment,356.0,0.0,1.0,1.0,2,residential_sale
1.0,2,1996.0,Antwerp,0.0,1.0,HYPER_EQUIPPED,110.0,30.0,3.0,B,369000,Antwerp,Flanders,6.0,1.0,GOOD,apartment,356.0,0.0,1.0,1.0,2,residential_sale
1.0,2,1996.0,Antwerp,0.0,1.0,HYPER_EQUIPPED,96.0,30.0,3.0,B,349000,Antwerp,Flanders,6.0,1.0,GOOD,apartment,356.0,0.0,1.0,1.0,2,residential_sale
1.0,2,1996.0,Antwerp,0.0,1.0,HYPER_EQUIPPED,100.0,30.0,3.0,B,329000,Antwerp,Flanders,6.0,1.0,GOOD,apartment,356.0,0.0,1.0,1.0,2,residential_sale
1.0,2,1996.0,Antwerp,0.0,1.0,HYPER_EQUIPPED,109.0,30.0,3.0,B,339000,Antwerp,Flanders,6.0,1.0,GOOD,apartment,356.0,0.0,1.0,1.0,2,residential_sale
1.0,2,1996.0,Antwerp,0.0,1.0,HYPER_EQUIPPED,97.0,30.0,3.0,B,339000,Antwerp,Flanders,6.0,1.0,GOOD,apartment,356.0,0.0,1.0,1.0,2,residential_sale
1.0,2,1996.0,Antwerp,0.0,1.0,HYPER_EQUIPPED,102.0,30.0,3.0,B,349000,Antwerp,Flanders,6.0,1.0,GOOD,apartment,356.0,0.0,1.0,1.0,2,residential_sale
1.0,2,1996.0,Antwerp,0.0,1.0,HYPER_EQUIPPED,100.0,30.0,3.0,B,339000,Antwerp,Flanders,6.0,1.0,GOOD,apartment,356.0,0.0,1.0,1.0,2,residential_sale
2.0,2,1972.0,Brussels,0.0,1.0,INSTALLED,160.0,30.0,2.0,D,745000,Brussels,Brussels,6.0,2.0,AS_NEW,apartment,356.0,0.0,1.0,1.0,2,residential_sale
1.0,2,1996.0,Antwerp,0.0,1.0,HYPER_EQUIPPED,103.0,30.0,3.0,B,349000,Antwerp,Flanders,6.0,1.0,GOOD,apartment,356.0,0.0,1.0,1.0,2,residential_sale
1.0,1,1996.0,Antwerp,0.0,1.0,HYPER_EQUIPPED,90.0,30.0,3.0,B,309000,Antwerp,Flanders,6.0,1.0,GOOD,apartment,356.0,0.0,1.0,1.0,2,residential_sale
1.0,1,1996.0,Antwerp,0.0,1.0,HYPER_EQUIPPED,83.0,30.0,3.0,B,279000,Antwerp,Flanders,6.0,1.0,GOOD,apartment,356.0,0.0,1.0,1.0,2,residential_sale
1.0,8,1978.0,Tongeren,0.0,1.0,NOT_INSTALLED,450.0,30.0,4.0,B,650000,Limburg,Flanders,16.0,1.0,TO_RENOVATE,villa,1562.0,0.0,1.0,2.0,1,residential_sale
2.0,3,1960.0,Antwerp,0.0,1.0,SEMI_EQUIPPED,104.0,30.0,3.0,B,340000,Antwerp,Flanders,6.0,1.0,JUST_RENOVATED,apartment,356.0,0.0,1.0,2.0,2,residential_sale
1.0,1,1996.0,Philippeville,0.0,1.0,SEMI_EQUIPPED,58.0,30.0,2.0,G,39000,Namur,Wallonie,6.0,1.0,GOOD,house,35.0,0.0,1.0,1.0,1,residential_sale
0.0,1,1996.0,Virton,0.0,1.0,SEMI_EQUIPPED,44.0,30.0,3.0,E,105000,Luxembourg,Wallonie,6.0,1.0,GOOD,apartment,356.0,0.0,1.0,1.0,2,residential_sale
1.0,3,1996.0,Thuin,0.0,1.0,NOT_INSTALLED,124.0,30.0,3.0,E,127000,Hainaut,Wallonie,7.0,1.0,GOOD,house,500.0,0.0,1.0,1.0,1,residential_sale
0.0,1,2021.0,Brussels,0.0,1.0,USA_INSTALLED,77.0,30.0,3.0,A,298000,Brussels,Brussels,6.0,1.0,GOOD,apartment,356.0,0.0,1.0,1.0,2,residential_sale
0.0,0,2021.0,Brussels,0.0,1.0,USA_INSTALLED,56.0,30.0,3.0,A,220000,Brussels,Brussels,6.0,1.0,GOOD,flat_studio,356.0,0.0,1.0,1.0,2,residential_sale
1.0,3,2023.0,Veurne,0.0,1.0,INSTALLED,172.0,30.0,3.0,A,343114,West Flanders,Flanders,6.0,1.0,GOOD,house,162.0,0.0,1.0,2.0,1,residential_sale
1.0,3,2023.0,Veurne,0.0,1.0,INSTALLED,162.0,30.0,3.0,A,369115,West Flanders,Flanders,6.0,1.0,GOOD,house,175.0,0.0,1.0,2.0,1,residential_sale
1.0,3,2023.0,Veurne,0.0,1.0,INSTALLED,163.0,30.0,3.0,A,345614,West Flanders,Flanders,6.0,1.0,GOOD,house,174.0,0.0,1.0,2.0,1,residential_sale
1.0,3,2023.0,Veurne,0.0,1.0,INSTALLED,168.0,30.0,3.0,A,382942,West Flanders,Flanders,6.0,1.0,GOOD,house,248.0,0.0,1.0,2.0,1,residential_sale
1.0,3,2023.0,Veurne,0.0,1.0,INSTALLED,165.0,30.0,3.0,A,344614,West Flanders,Flanders,6.0,1.0,GOOD,house,162.0,0.0,1.0,2.0,1,residential_sale
1.0,3,2023.0,Veurne,0.0,1.0,INSTALLED,160.0,30.0,3.0,A,342889,West Flanders,Flanders,6.0,1.0,GOOD,house,188.0,0.0,1.0,2.0,1,residential_sale
1.0,3,1968.0,Veurne,0.0,1.0,INSTALLED,251.0,30.0,4.0,C,555000,West Flanders,Flanders,6.0,1.0,AS_NEW,villa,430.0,0.0,1.0,2.0,1,residential_sale
1.0,2,2014.0,Waremme,0.0,1.0,INSTALLED,120.0,30.0,2.0,B,350000,Liège,Wallonie,6.0,1.0,AS_NEW,duplex,356.0,0.0,1.0,2.0,2,residential_sale
1.0,1,1996.0,Verviers,0.0,1.0,INSTALLED,94.0,30.0,4.0,D,210000,Liège,Wallonie,7.0,1.0,GOOD,loft,356.0,0.0,1.0,1.0,2,residential_sale
2.0,4,1920.0,Charleroi,0.0,1.0,NOT_INSTALLED,268.0,30.0,2.0,F,199000,Hainaut,Wallonie,6.0,2.0,TO_RENOVATE,mixed_use_building,170.0,0.0,1.0,3.0,1,residential_sale
1.0,4,2010.0,Liège,0.0,1.0,INSTALLED,140.0,30.0,2.0,C,265000,Liège,Wallonie,6.0,1.0,GOOD,apartment,356.0,0.0,1.0,2.0,2,residential_sale
1.0,3,1996.0,Brussels,0.0,1.0,INSTALLED,140.0,30.0,2.0,B,349000,Brussels,Brussels,6.0,1.0,GOOD,duplex,356.0,0.0,1.0,1.0,2,residential_sale
1.0,3,2014.0,Waremme,0.0,1.0,INSTALLED,120.0,30.0,2.0,B,350000,Liège,Wallonie,6.0,1.0,AS_NEW,duplex,356.0,0.0,1.0,2.0,2,residential_sale
1.0,2,1996.0,Brussels,0.0,1.0,INSTALLED,90.0,30.0,2.0,G,235000,Brussels,Brussels,6.0,1.0,GOOD,apartment,356.0,0.0,1.0,1.0,2,residential_sale
2.0,4,2023.0,Verviers,0.0,1.0,HYPER_EQUIPPED,227.0,30.0,4.0,A++,473214,Liège,Wallonie,6.0,2.0,AS_NEW,house,1129.0,0.0,1.0,2.0,1,residential_sale
